model,mean,ci_lower,ci_upper
bagging,1.630880898397,1.3900053411580036,1.8743025017062522
gradient_boosting,1.6091032744241118,1.4031102692277637,1.8243172732788493
knn,2.5647326934241788,2.2814757818191604,2.8312663249594565
lasso,1.8663622780366356,1.6059419136794866,2.1212818032125984
linear_regression,1.9387728704000655,1.6900184528702344,2.1928772859270316
mlp,2.045469600082886,1.8962684262350278,2.201386527929
random_forest,1.591374178739395,1.3760526604256205,1.800174909825574
ridge,1.9705820038447044,1.7545299583914136,2.1886839772472544
stacking,1.5798544612142993,1.355917233750898,1.79857157125904
svr,1.932479692173374,1.5762025664348425,2.26398298436682
xgb,1.6842990519148782,1.4848970856855066,1.8944301026225898
